"DirectionNum","EndTime","RouteID","StartTime"
"0","2013-07-03T14:37:00","34","2013-07-03T14:04:00"
"0","2013-07-03T15:11:00","34","2013-07-03T14:31:00"
"0","2013-07-03T15:28:00","34","2013-07-03T14:48:00"
"0","2013-07-03T15:58:00","34","2013-07-03T15:18:00"
"0","2013-07-03T16:28:00","34","2013-07-03T15:48:00"
"0","2013-07-03T16:45:00","34","2013-07-03T16:01:00"
"0","2013-07-03T17:00:00","34","2013-07-03T16:16:00"
"0","2013-07-03T17:15:00","34","2013-07-03T16:31:00"
"0","2013-07-03T17:30:00","34","2013-07-03T16:46:00"
"0","2013-07-03T17:45:00","34","2013-07-03T17:01:00"
"0","2013-07-03T18:00:00","34","2013-07-03T17:18:00"
"0","2013-07-03T18:15:00","34","2013-07-03T17:33:00"
"0","2013-07-03T18:33:00","34","2013-07-03T17:51:00"
"0","2013-07-03T18:48:00","34","2013-07-03T18:13:00"
"0","2013-07-03T19:06:00","34","2013-07-03T18:31:00"
"0","2013-07-03T19:31:00","34","2013-07-03T18:56:00"
"0","2013-07-03T19:49:00","34","2013-07-03T19:18:00"
"0","2013-07-03T20:18:00","34","2013-07-03T19:47:00"
"0","2013-07-03T20:48:00","34","2013-07-03T20:17:00"
"0","2013-07-03T21:26:00","34","2013-07-03T20:58:00"
"0","2013-07-03T22:13:00","34","2013-07-03T21:46:00"
"0","2013-07-03T23:18:00","34","2013-07-03T22:51:00"
"0","2013-07-04T00:23:00","34","2013-07-03T23:56:00"
"0","2013-07-04T01:26:00","34","2013-07-04T01:01:00"
"1","2013-07-03T05:28:00","36","2013-07-03T04:28:00"
"1","2013-07-03T05:56:00","36","2013-07-03T04:56:00"
"1","2013-07-03T06:33:00","36","2013-07-03T05:28:00"
"1","2013-07-03T07:07:00","36","2013-07-03T05:55:00"
"1","2013-07-03T07:31:00","36","2013-07-03T06:12:00"
"1","2013-07-03T06:51:00","36v2","2013-07-03T06:29:00"
"1","2013-07-03T07:59:00","36","2013-07-03T06:40:00"
